 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
1,Francisco Lindor#,31,NYM,NL,732,0.359,129,0.288,0.199,4.2,17.9,8.9,90.1,44.7,25,38.1,27.5,0.62,33.7,49.9,16.4,3,2.90%,24.38,38.7,83.8,60,*6/DH,ASMVP-10,lindofr01
2,Rafael Devers*,28,2TM,2LG,729,0.366,139,0.307,0.227,4.8,26.3,15.4,93.5,56.2,22.9,42.7,30.1,0.75,32.9,48.9,18.1,1.5,0.60%,36.06,27.1,50,31,*D3/5H,,deverra01
2,Rafael Devers*,28,BOS,AL,334,0.387,153,0.322,0.232,4.5,22.8,16.8,94,55.8,23.7,41.4,29.8,0.71,26.8,53,20.2,0.9,0.60%,18.65,26.9,50,23.5,D,,deverra01
2,Rafael Devers*,28,SFG,NL,395,0.349,127,0.294,0.224,5.1,29.4,14.2,93.1,56.6,22.2,43.9,30.3,0.78,38.5,45.2,16.3,0.5,0.00%,17.4,27.4,,37.8,D3/5H,,deverra01
3,Shohei Ohtani*,30,LAD,NL,727,0.423,175,0.315,0.34,7.6,25.7,15,94.9,58.7,21.1,39.7,35.7,0.66,35.9,51.6,12.4,5.9,4.40%,57.35,39.7,76.9,43.6,*D1,ASMVP-1SS,ohtansh01
4,Matt Olson*,31,ATL,NL,724,0.368,136,0.333,0.212,4,24.3,12.6,93.4,53.6,24.7,39.7,28.3,0.66,30.9,47.9,21.2,2.4,0.30%,30.88,29.2,100,28.6,*3,ASMVP-18GG,olsonma02
5,Kyle Schwarber*,32,PHI,NL,724,0.396,149,0.253,0.323,7.7,27.2,14.9,94.3,59.6,22.5,34.3,34.3,0.52,46.8,43.1,10,2.9,1.40%,41.86,26.4,83.3,35.5,*D/7,ASMVP-2,schwaky01
6,Geraldo Perdomo#,25,ARI,NL,720,0.382,139,0.303,0.173,2.8,11.5,13.1,85.8,32.1,25.5,36.8,26.5,0.61,32.3,46.9,20.8,3.4,1.20%,40.48,30.4,81.8,50,*6/H,MVP-4SS,perdoge01
7,Juan Soto*,26,NYM,NL,715,0.41,163,0.27,0.262,6,19.2,17.8,93.3,55.4,20.8,44.3,27.5,0.81,34.5,52.8,12.8,5,3.50%,51.47,32.2,90.5,40.3,*9/D,MVP-3SS,sotoju01
8,Julio Rodríguez,24,SEA,AL,710,0.353,133,0.302,0.207,4.5,21.4,6.2,91.8,48.2,21.1,48.2,25.7,0.93,23.1,59.4,17.5,1.2,1.20%,23.93,37.4,83.3,57.5,*8/DH,ASMVP-6,rodriju01
9,Pete Alonso,30,NYM,NL,709,0.371,142,0.305,0.252,5.4,22.8,8.6,93.5,54.5,25.5,37.6,30.1,0.6,27,50.1,22.9,3.9,3.20%,27.32,23.6,33.3,34,*3/D,ASMVP-11SS,alonspe01
10,Randy Arozarena,30,SEA,AL,709,0.341,124,0.298,0.188,3.8,26.9,9,91.1,50.7,21.3,42.4,26.9,0.74,26.5,57.4,16.2,1.2,0.60%,3.63,32.4,83.8,44,*7/D,AS,arozara01
11,Cal Raleigh#,28,SEA,AL,705,0.392,165,0.248,0.342,8.5,26.7,13.8,91.3,49.6,19.5,25.8,41.8,0.35,46.5,39.4,14.1,3.7,3.00%,51.41,25.9,77.8,21.1,*2D/H,ASMVP-2SS,raleica01
12,Elly De La Cruz#,23,CIN,NL,699,0.342,104,0.337,0.176,3.1,25.9,9.6,90.8,44.3,22.7,51,20.9,1.05,29.8,51.9,18.3,1.2,0.70%,19.68,37.6,82.2,69.8,*6/DH,ASMVP-23,delacel01
13,Brent Rooker,30,ATH,AL,699,0.353,125,0.302,0.217,4.3,22.2,9.3,90.7,44.8,26,37,30.2,0.59,31.3,52.2,16.5,0.7,-0.10%,12.48,30.4,85.7,38.8,*D9/7H,AS,rookebr01
14,Jarren Duran*,28,BOS,AL,696,0.345,118,0.326,0.185,2.3,24.3,8.6,91.6,46.9,25.5,41.3,25.1,0.71,32.3,51.2,16.5,0.5,0.60%,26.95,32.6,80,68.1,*78/H9D,,duranja01
15,Heliot Ramos,25,SFG,NL,695,0.319,107,0.309,0.144,3,22.7,7.5,91.8,47.8,24.4,44.4,25.4,0.8,19.2,63.2,17.5,-0.3,0.00%,-6.35,30.9,60,48.3,*7/DH,,ramoshe02
16,Steven Kwan*,27,CLE,AL,693,0.312,94,0.283,0.102,1.6,8.7,7.9,84.9,19.3,28.9,36.9,26.1,0.61,24.9,54.6,20.5,0.3,0.20%,-0.59,32.3,80.8,30.9,*7/D8,ASGG,kwanst01
17,Fernando Tatis Jr.,26,SDP,NL,691,0.368,129,0.303,0.178,3.6,18.7,12.9,93.1,52.2,19.9,48.8,25.3,0.96,23.1,59.5,17.3,3.6,2.10%,34.53,37.6,82.1,46.7,*9/D,ASMVP-8GG,tatisfe02
18,James Wood*,22,WSN,NL,689,0.357,132,0.35,0.219,4.5,32.1,12.3,94.3,56.8,27.6,49.7,21.3,0.99,25.8,53.9,20.3,2.9,0.60%,28.28,26.7,68.2,34.7,*7D/H,AS,woodja03
19,Bobby Witt Jr.,25,KCR,AL,687,0.37,136,0.334,0.205,3.3,18.2,7.1,93.3,48.8,26.1,37.4,27.9,0.6,21.6,55,23.4,3.5,1.50%,36.36,34.9,80.9,57.4,*6/D,ASMVP-4GGSS,wittbo02
20,Willy Adames,29,SFG,NL,686,0.326,110,0.263,0.196,4.4,26.1,11.7,88.9,43.1,22.3,31.8,36.3,0.47,31.4,51.1,17.6,1.4,0.30%,9.08,34,75,46.2,*6/D,,adamewi01
21,TJ Friedl*,29,CIN,NL,685,0.341,106,0.301,0.117,2,16.8,11.8,84.6,32.1,25.8,38.5,21.6,0.68,40.6,48,11.4,0,0.00%,8.94,28.9,80,49.3,*8/DH,,friedtj01
22,Vinnie Pasquantino*,27,KCR,AL,682,0.343,121,0.271,0.211,4.7,15.7,7.2,90.7,44.9,24.3,38,29.7,0.61,36.4,48.7,14.8,0.6,0.20%,12.58,21.3,100,24.1,*3D,,pasquvi01
23,Vladimir Guerrero Jr.,26,TOR,AL,680,0.365,133,0.313,0.175,3.4,13.8,11.9,92,51,27.1,47.1,19.8,0.89,24.6,55.5,19.8,3.5,3.00%,31.56,30.9,66.7,31.9,*3D/H,ASMVP-13,guerrvl02
24,Aaron Judge,33,NYY,AL,679,0.461,212,0.376,0.357,7.8,23.6,18.3,95.4,58.4,22.4,33.5,38.4,0.5,26.5,55.9,17.5,5.6,4.90%,73.52,32.7,70.6,36.2,9D/H,ASMVP-1SS,judgeaa01
25,Manny Machado,32,SDP,NL,678,0.346,115,0.307,0.185,4,19.3,8.1,92.9,51.5,24.9,38.9,29.2,0.64,27.4,52.8,19.8,0.2,-0.10%,13.8,32,82.4,34.2,*5D,ASMVP-16SS,machama01
26,Luis Arráez*,28,SDP,NL,675,0.318,97,0.289,0.1,1.2,3.1,5,84.7,16.8,28,42.6,22.5,0.78,23.5,49.8,26.7,-0.4,-0.40%,-8.96,27.8,73.3,42.9,*3D4/H,,arraelu01
